"pac_name_affiliate","country_of_origin_parent_company","total","dems","repubs","year"
"ENGIE North America","France/ENGIE","$11,500","$6,000","$5,500",2020
"Equitable Holdings (AXA)","France/AXA","$152,000","$69,500","$82,500",2020
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$66,000","$33,000","$33,000",2020
"Essent US Holdings","UK/Essent Group","$16,500","$10,500","$6,000",2020
"Experian","UK/Experian","$727,500","$269,500","$458,000",2020
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$236,500","$94,000","$142,500",2020
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$24,750","$9,500","$15,250",2020
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$75,500","$24,000","$51,500",2020
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$3,469","$3,169","$300",2020
"Framatome (EDF Group)","France/EDF Group","$66,000","$34,000","$32,000",2020
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$496,500","$258,000","$238,500",2020
"G4S Secure Solutions","UK/G4S plc","$45,000","$5,000","$40,000",2020
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$49,000","$11,500","$37,500",2020
"GE Appliances","China/Haier Group","$36,000","$7,500","$28,500",2020
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$458,000","$228,500","$229,500",2020
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$2,500","$0","$2,500",2020
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$4,000","$0","$4,000",2020
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$0","$0","$0",2020
"Glanbia Performance Nutrition (Glanbia PLC)","Ireland/Glanbia plc","$0","$0","$0",2020
"GlaxoSmithKline","UK/GlaxoSmithKline","$199,000","$77,000","$122,000",2020
"Glover Park Group (WPP Group)","UK/WPP Group","$135,780","$98,780","$37,000",2020
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$17,000","$5,500","$11,500",2020
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$0","$0","$0",2020
"Greyhound Lines","UK/FirstGroup PLC","$13,000","$9,500","$3,500",2020
"Hannover Life Reassurance Co","Germany/Hannover Re","$5,000","$2,500","$2,500",2020
"Headwaters Inc","Australia/Boral Ltd","$23,000","$4,000","$19,000",2020
"Heineken USA","Netherlands/L'Arche Green NV","$47,500","$25,500","$22,000",2020
"Herbalife Nutrition","UK/Herbalife Ltd","$104,000","$59,000","$45,000",2020
"Holcim US (LafargeHolcim)","Switzerland/LaFargeHolcim","$57,000","$13,500","$43,500",2020
"Horizon Therapeutics","Ireland/Horizon Pharma PLC","$156,500","$71,500","$85,000",2020
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$2,000","$0","$2,000",2020
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$192,500","$89,500","$103,000",2020
"IBI Group Engineering Services","Canada/IBI Group","$0","$0","$0",2020
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$20,500","$11,000","$9,500",2020
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$45,800","$27,300","$18,500",2020
"Infineon Technologies","Germany/Infineon Technologies AG","$25,750","$16,000","$9,750",2020
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$16,500","$8,500","$8,000",2020
"Intergraph Corp","Sweden/Hexagon AB","$4,800","$0","$4,800",2020
"Ipsen Biopharmaceuticals","France/Ipsen SA","$0","$0","$0",2020
"ITG Brands","UK/Imperial Brands","$86,500","$14,000","$71,500",2020
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$110,500","$30,000","$80,500",2020
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$201,000","$59,000","$142,000",2020
"JBS USA","Brazil/JBS SA","$125,500","$18,000","$107,500",2020
"John Hancock Life Insurance","Canada/Manulife Financial","$100,500","$54,500","$46,000",2020
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$276,400","$129,400","$147,000",2020
"Komatsu Mining","Japan/Komatsu Ltd","$13,500","$4,000","$9,500",2020
"Lanxess Corp (Lanxess AG)","Germany/Lanxess AG","$5,500","$3,000","$2,500",2020
"Lehigh Hanson","Germany/HeidelbergCement AG","$173,000","$26,000","$147,000",2020
"Leonardo DRS","Italy/Leonardo SpA","$222,000","$85,000","$137,000",2020
"Lincare Holdings (Linde plc)","UK/Linde plc","$12,000","$1,000","$11,000",2020
"Linde North America (Linde plc)","UK/Linde plc","$0","$0","$0",2020
"Linde plc (Linde plc)","UK/Linde Plc","$14,000","$11,000","$3,000",2020
"Livanova USA","UK/Livanova Plc","$4,500","$0","$4,500",2020
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$4,000","$0","$4,000",2020
"LSEG US","UK/London Stock Exchange Group","$38,000","$25,500","$12,500",2020
"Lundbeck Inc","Denmark/H Lundbeck A/S","$106,000","$55,500","$50,500",2020
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$112,000","$26,500","$85,500",2020
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$44,500","$27,500","$17,000",2020
"Magnolia LNG (Glenfarne Group)","Australia/Glenfarne Group","$5,000","$0","$5,000",2020
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$67,500","$18,000","$49,500",2020
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$2,500","$0","$2,500",2020
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$161,000","$80,000","$81,000",2020
"MBDA Inc","UK/MBDA","$0","$0","$0",2020
"Medtronic Inc","Ireland/Medtronic Plc","$245,000","$142,000","$103,000",2020
"Messer North America","Germany/Messer Group","$44,500","$21,500","$23,000",2020
"Mitsubishi Power","Japan/Mitsubishi Power","$6,000","$1,000","$5,000",2020
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$93,000","$30,000","$63,000",2020
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0",2020
"Munich American Reassurance","Germany/Munich Re Group","$7,500","$5,000","$2,500",2020
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$2,500","$1,250","$1,250",2020
"Nammo Talley Inc (Nammo AS)","Norway/Nammo AS","$4,750","$2,250","$2,500",2020
"National Grid USA (National Grid plc)","UK/National Grid plc","$42,000","$31,000","$11,000",2020
"Natixis Investment Managers","France/Groupe BPCE","$4,011","$1,000","$3,011",2020
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$43,250","$13,500","$29,750",2020
"Nomura Holding America","Japan/Nomura Holdings","$102,500","$50,000","$52,500",2020
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$1,200","$0","$1,200",2020
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$290,000","$141,000","$149,000",2020
"Novo Nordisk","Denmark/Novo Nordisk A/S","$414,582","$224,927","$189,655",2020
"Novocure Inc","UK/Novocure","$65,600","$16,000","$49,600",2020
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$49,900","$23,400","$26,500",2020
"Orano USA (Orano Group)","France/Orano Group","$1,500","$0","$1,500",2020
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$59,250","$34,750","$24,500",2020
"Permobil Inc (Investor AB)","Sweden/Investor AB","$5,000","$0","$5,000",2020
"Pernod Ricard USA","France/Pernod Ricard SA","$13,500","$4,500","$9,000",2020
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$4,000","$500","$3,500",2020
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$70,000","$35,000","$35,000",2020
"Philips Electronics North America (Philips)","Netherlands/Philips","$151,000","$78,500","$72,500",2020
"Prime Policy Group (WPP Group)","UK/WPP Group","$56,000","$19,000","$36,500",2020
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$199,900","$31,000","$168,900",2020
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$42,500","$2,000","$40,500",2020
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$7,388","$0","$7,388",2020
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$60,500","$38,500","$22,000",2020
"Recurrent Energy","Canada/Canadian Solar","$5,000","$0","$5,000",2020
"RELX Inc","UK/RELX Group","$244,000","$110,000","$134,000",2020
"Resolute FP US","Canada/Resolute Forest Products","$88,000","$15,500","$72,500",2020
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$386,460","$66,500","$319,960",2020
"Rio Tinto America","UK/Rio Tinto Group","$13,000","$7,500","$5,500",2020
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$43,500","$12,500","$31,000",2020
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$258,500","$97,500","$161,000",2020
"Sabic Innovative Plastics","Saudi Arabia/SABIC","$5,500","$2,000","$3,500",2020
"Safelite Group","Belgium/D'Ieteren SA","$4,800","-$1,000","$5,800",2020
"Samsung Electronics America","South Korea/Samsung Group","$297,000","$171,000","$126,000",2020
"Sanofi US (Sanofi)","France/Sanofi","$298,500","$114,000","$184,500",2020
"Santander Bank (Banco Santander)","Spain/Banco Santander","$114,500","$53,000","$61,500",2020
"SAP America","Germany/SAP SE","$30,500","$21,000","$9,500",2020
"Schwan's Co","South Korea/CJ CheilJedang","$194,000","$71,000","$123,000",2020
"Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0",2020
"Serco Inc","UK/Serco Group","$141,500","$71,500","$70,000",2020
"Shell Oil","Netherlands/Royal Dutch Shell","$5,000","$1,000","$4,000",2020
"Shire Holdings US (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","-$12,500","-$1,500","-$11,000",2020
"Siemens Corp","Germany/Siemens AG","$127,250","$76,750","$50,500",2020
"Smith & Nephew","UK/Smith & Nephew Plc","$93,500","$39,000","$54,500",2020
"Smithfield Foods","China/WH Group","$95,500","$25,000","$70,500",2020
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$65,500","$30,500","$35,000",2020
"Sodexo Inc","France/Sodexo","$3,000","$0","$3,000",2020
"Solvay America","Belgium/Solvay SA","$34,000","$12,500","$21,500",2020
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$12,500","$7,500","$5,000",2020
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$93,500","$63,000","$30,500",2020
"Spark Therapeutics (Roche Holdings)","Switzerland/Roche Holdings","$11,500","$4,500","$7,000",2020
"SSAB Americas","Sweden/SSAB AB","$27,000","$7,500","$19,500",2020
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$3,500","$0","$3,500",2020
"Steris Corp","UK/Steris PLC","$72,750","$12,500","$60,250",2020
"SUEZ Water","France/SUEZ Environnement","$5,500","$4,500","$1,000",2020
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$112,500","$66,500","$43,500",2020
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$88,000","$41,000","$47,000",2020
"Sunpower Corp","France/Total SA","$24,000","$23,500","$500",2020
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$3,500","$0","$3,500",2020
"Swiss Re America","Switzerland/Swiss Reinsurance","$30,500","$17,500","$13,000",2020
"Syngenta Corp","China/ChemChina","$143,000","$61,000","$82,000",2020
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$136,000","$66,000","$70,000",2020
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$14,750","$3,500","$11,250",2020
"TD Bank USA","Canada/Toronto-Dominion Bank","$171,200","$80,200","$91,000",2020
"TE Connectivity","Switzerland/TE Connectivity","$114,500","$61,000","$53,500",2020
"TECO Energy","Canada/Emera Inc","$31,000","$8,500","$22,500",2020
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$77,300","$44,300","$33,000",2020
"Toyota Motor North America","Japan/Toyota Motor Corp","$1,161,642","$583,000","$578,642",2020
"Trane Technologies","Ireland/Trane Technologies","$6,800","$2,000","$4,800",2020
"TransAmerica","Netherlands/Aegon NV","$504,000","$243,500","$259,500",2020
"Transcanada USA Services (TC Energy)","Canada/TC Energy","$142,500","$58,500","$84,000",2020
"Travelport Inc","UK/Travelport Ltd","$0","$0","$0",2020
"UBS Americas","Switzerland/UBS AG","$1,615,000","$802,500","$812,500",2020
"UCB Inc (UCB SA)","Belgium/UCB SA","$35,000","$13,500","$21,500",2020
"Ultra Electronics USA","UK/Ultra Electronics","$41,500","$14,000","$27,500",2020
"Universal Music Group (Vivendi)","France/Vivendi","$128,750","$73,000","$55,750",2020
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$14,000","$8,500","$5,500",2020
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$112,500","$48,000","$64,500",2020
"VT Halter Marine","Singapore/ST Engineering","$11,200","$0","$11,200",2020
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$25,500","$18,500","$7,000",2020
"Westinghouse Electric","Canada/Brookfield Business Partners","$43,500","$8,000","$35,500",2020
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$0","$0","$0",2020
"WSP USA","Canada/WSP Global","$147,250","$108,750","$38,500",2020
"XL America (AXA)","France/AXA","$0","$0","$0",2020
"ZF Automotive US (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$24,500","$14,500","$10,000",2020
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$267,500","$143,000","$124,500",2020
"Accenture (Accenture)","Ireland/Accenture plc","$3,000","$0","$3,000",2021
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0",2021
"Air Liquide America","France/L'Air Liquide SA","$17,300","$14,800","$2,500",2021
"Airbus Group","Netherlands/Airbus Group","$193,500","$82,500","$111,000",2021
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$186,250","$104,000","$82,250",2021
"Alkermes Inc","Ireland/Alkermes Plc","$84,500","$34,500","$50,000",2021
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$31,500","$20,500","$11,000",2021
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2,525","$0","$2,525",2021
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$457,500","$218,000","$239,500",2021
"AON Corp (AON plc)","UK/AON PLC","$98,500","$52,000","$46,500",2021
"APL Maritime (CMA CGM)","France/CMA CGM SA","$19,000","$8,000","$11,000",2021
"Aptiv PLC","Ireland/Aptiv PLC","$10,350","$5,350","$5,000",2021
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$1,000","$0","$1,000",2021
"Arch Capital Group (US)","UK/Arch Capital Group","$8,500","$5,500","$3,000",2021
"Arkema Inc","France/Arkema","$51,500","$27,000","$24,500",2021
"Ashton Woods Homes","Canada/Great Gulf Group","$2,500","$0","$2,500",2021
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$112,100","$55,500","$56,600",2021
"Astellas US","Japan/Astellas Pharma","$145,500","$63,500","$82,000",2021
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$310,750","$128,500","$182,250",2021
"Atkins North America","UK/SNC-Lavalin","$18,000","$5,000","$13,000",2021
"Austal USA","Australia/Austal Ltd","$50,200","$5,000","$45,200",2021
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$155,000","$103,000","$52,000",2021
"Bacardi USA","UK/Bacardi Ltd","$46,200","$19,500","$25,700",2021
"BAE Systems (BAE Systems)","UK/BAE Systems","$739,500","$320,000","$419,500",2021
"Barclays Group US","UK/Barclays plc","$123,000","$49,500","$73,500",2021
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$14,500","$11,000","$3,500",2021
"BASF Corp","Germany/BASF SE","$412,000","$222,000","$190,000",2021
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$209,500","$117,500","$92,000",2021
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$46,000","$26,000","$20,000",2021
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0",2021
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$193,000","$101,000","$92,000",2021
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$182,900","$86,900","$96,000",2021
"Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$36,500","$16,500","$20,000",2021
"BP North America","UK/BP PLC","-$2,000","$0","-$2,000",2021
"Bridgestone Americas","Japan/Bridgestone Corp","$29,500","$15,000","$14,500",2021
"Bumble Bee Foods (FCF Co)","Taiwan/FCF Co","$6,000","$6,000","$0",2021
"CAE USA","Canada/CAE Inc","$11,000","$6,000","$5,000",2021
"CalPortland Co","Japan/Taiheiyo Cement Co","$214,000","$13,000","$201,000",2021
"Carmeuse Lime","Netherlands/Carmeuse SA","$1,000","$0","$1,000",2021
"Case New Holland","Netherlands/CNH Industrial","$101,000","$5,000","$96,000",2021
"CEMEX Inc","Mexico/CEMEX SAB de CV","$42,500","$16,500","$26,000",2021
"CGI Technologies & Solutions","Canada/CGI Group","$48,000","$40,000","$8,000",2021
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$98,000","$51,500","$46,500",2021
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$2,000","$2,000","$0",2021
"Cirrus Aircraft Corp","China/Aviation Industry Corp of China","$0","$0","$0",2021
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$59,000","$31,000","$28,000",2021
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$14,000","$9,500","$4,500",2021
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$55,000","$25,000","$30,000",2021
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$549,600","$208,500","$341,100",2021
"Cronos USA","Canada/Cronos Group","$33,000","$21,000","$12,000",2021
"CSL Behring","Australia/CSL Ltd","$55,100","$32,700","$22,400",2021
"Delhaize America","Belgium/Ahold Delhaize","$43,500","$19,000","$24,500",2021
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0",2021
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$17,575","$12,575","$5,000",2021
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$52,353","$24,500","$27,853",2021
"EDF Renewables (EDF Group)","France/EDF Group","$38,000","$32,500","$5,500",2021
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$22,000","$20,500","$1,500",2021
"Eisai Inc","Japan/Eisai Co Ltd","$23,100","$11,300","$11,800",2021
"Elbit Systems of America","Israel/Elbit Systems Ltd","$63,000","$16,500","$46,500",2021
"Electrolux Home Products","Sweden/AB Electrolux","$4,500","$1,500","$3,000",2021
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$88,100","$41,500","$46,600",2021
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$61,000","$18,500","$42,500",2021
"EMD Serono Inc","Germany/Merck KGaA","$149,500","$80,000","$69,500",2021
"Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","-$1,000","-$1,000","$0",2021
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$45,500","$18,500","$27,000",2021
"Enbridge Inc","Canada/Enbridge Inc","$84,500","$23,500","$61,000",2021
"Endo Pharmaceuticals","Ireland/Endo International","$0","$0","$0",2021
"ENGIE North America","France/ENGIE","$21,500","$17,500","$4,000",2021
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$117,500","$59,500","$58,000",2021
"Essent US Holdings","UK/Essent Group","$10,500","$2,500","$8,000",2021
"Experian","UK/Experian","$554,500","$256,500","$298,000",2021
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$262,000","$139,000","$123,000",2021
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$19,500","$11,000","$8,500",2021
"Finsbury Glover Hering (WPP Group)","UK/WPP Group","$124,250","$71,500","$52,750",2021
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$62,000","$20,500","$41,500",2021
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$2,150","$1,850","$300",2021
"Framatome (EDF Group)","France/EDF Group","$32,000","$15,000","$17,000",2021
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$405,500","$180,000","$225,500",2021
"G4S Secure Solutions","UK/G4S plc","$2,900","$2,900","$0",2021
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$117,000","$39,500","$77,500",2021
"GE Appliances","China/Haier Group","$23,000","$5,000","$18,000",2021
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$295,000","$154,500","$140,500",2021
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$500","$0","$500",2021
"GenesisCare USA","Australia/GenesisCare","$17,000","$9,500","$7,500",2021
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$14,000","$6,000","$8,000",2021
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$0","$0","$0",2021
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$22,000","$7,000","$15,000",2021
"Greyhound Lines","UK/FirstGroup PLC","$10,500","$6,000","$4,500",2021
"GSK plc","UK/GlaxoSmithKline","$205,000","$54,000","$151,000",2021
"Haleon plc","UK/Haleon plc","$2,500","$0","$2,500",2021
"Hannover Life Reassurance Co","Germany/Hannover Re","$17,500","$10,000","$7,500",2021
"Hatch LTK (Hatch Ltd)","Canada/Hatch Ltd","$5,800","$5,800","$0",2021
"Headwaters Inc","Australia/Boral Ltd","$10,500","$1,000","$9,500",2021
"Heineken USA","Netherlands/L'Arche Green NV","$26,000","$14,000","$12,000",2021
"Herbalife Nutrition","UK/Herbalife Ltd","$85,500","$35,500","$50,000",2021
"Holcim US (Holcim Group)","Switzerland/Holcim Group","$37,000","$22,000","$15,000",2021
"Horizon Therapeutics","Ireland/Horizon Pharma PLC","$149,000","$89,000","$60,000",2021
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$34,500","$11,000","$23,500",2021
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$61,000","$36,500","$24,500",2021
"IBI Group Engineering Services","Canada/IBI Group","$150","$0","$150",2021
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$29,900","$6,000","$23,900",2021
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$42,900","$32,900","$10,000",2021
"Infineon Technologies","Germany/Infineon Technologies AG","$20,000","$12,500","$7,500",2021
"Intelsat US","Luxembourg/Intelsat Holdings","$49,000","$25,500","$23,500",2021
"Intergraph Corp","Sweden/Hexagon AB","$2,900","$0","$2,900",2021
"Ipsen Biopharmaceuticals","France/Ipsen SA","$40,000","$22,500","$17,500",2021
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$14,000","$5,500","$8,500",2021
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$169,198","$50,998","$118,200",2021
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$87,000","$50,000","$37,000",2021
"JBS USA","Brazil/JBS SA","$18,500","$7,000","$11,500",2021
"John Hancock Life Insurance","Canada/Manulife Financial","$94,500","$58,500","$36,000",2021
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$211,500","$117,500","$94,000",2021
"Komatsu Mining","Japan/Komatsu Ltd","$20,599","$9,500","$11,099",2021
"Lanxess Corp (Lanxess AG)","Germany/Lanxess AG","$0","$0","$0",2021
"Lehigh Hanson","Germany/HeidelbergCement AG","$102,000","$22,500","$79,500",2021
"Leonardo DRS","Italy/Leonardo SpA","$204,000","$76,500","$127,500",2021
"Liberty Utilities (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$0","$0","$0",2021
"Lincare Holdings (Linde plc)","UK/Linde plc","$23,500","$6,000","$17,500",2021
"Linde plc (Linde plc)","UK/Linde Plc","$11,000","$11,000","$0",2021
"Livanova USA","UK/Livanova Plc","$6,000","$4,000","$2,000",2021
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$2,000","$0","$2,000",2021
"LSEG US","UK/London Stock Exchange Group","$2,000","$2,000","$0",2021
"Lundbeck Inc","Denmark/H Lundbeck A/S","$127,400","$72,400","$55,000",2021
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$95,000","$41,500","$53,500",2021
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$60,500","$29,500","$31,000",2021
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$500","$4,500","-$4,000",2021
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$173,500","$93,000","$78,000",2021
"MBDA Inc","UK/MBDA","$1,000","$0","$1,000",2021
"Medtronic Inc","Ireland/Medtronic Plc","$225,000","$119,000","$106,000",2021
"Mercedes-Benz USA (Daimler AG)","Germany/Daimler AG","$3,500","$0","$3,500",2021
"Messer North America","Germany/Messer Group","$28,500","$12,000","$16,500",2021
"Mitsubishi Power","Japan/Mitsubishi Power","$1,000","$0","$1,000",2021
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$77,500","$23,000","$54,500",2021
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0",2021
"Munich American Reassurance","Germany/Munich Re Group","$12,500","$5,000","$7,500",2021
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$9,000","$2,000","$7,000",2021
"National Grid USA (National Grid plc)","UK/National Grid plc","$58,500","$49,500","$9,000",2021
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$0","$0","$0",2021
"Nomura Holding America","Japan/Nomura Holdings","$49,500","$19,500","$30,000",2021
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$0","$0","$0",2021
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$281,500","$159,500","$122,000",2021
"Novo Nordisk","Denmark/Novo Nordisk A/S","$288,250","$147,250","$141,000",2021
"Novocure Inc","UK/Novocure","$94,500","$46,000","$48,500",2021
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$46,500","$15,000","$31,500",2021
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$125,500","$71,500","$54,000",2021
"Permobil Inc (Investor AB)","Sweden/Investor AB","$1,000","$1,000","$0",2021
"Pernod Ricard USA","France/Pernod Ricard SA","$27,000","$13,500","$13,500",2021
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$94,500","$50,000","$44,500",2021
"Philips Electronics North America (Philips)","Netherlands/Philips","$119,750","$54,250","$65,500",2021
"Prime Policy Group (WPP Group)","UK/WPP Group","$42,750","$24,500","$18,250",2021
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$177,000","$46,500","$130,500",2021
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$46,500","$18,500","$28,000",2021
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$11,500","$5,500","$6,000",2021
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$91,500","$45,000","$46,500",2021
"Recurrent Energy","Canada/Canadian Solar","$13,900","$9,900","$4,000",2021
"RELX Inc","UK/RELX Group","$94,500","$58,500","$36,000",2021
"Resolute FP US","Canada/Resolute Forest Products","$75,500","$5,500","$70,000",2021
